Year,Author,Title,african_diasporic,indian,chinese
1768,"Bickerstaff, Isaac",The Padlock: A Comic Opera,TRUE,FALSE,FALSE
1772,"Garrick, David",The Irish Widow in Two Acts,TRUE,FALSE,FALSE
1774,"Kelly, Hugh",The Romance of An Hour,FALSE,TRUE,FALSE
1777,"Mackenzie, Henry","Julia De Roubigné, A Tale",TRUE,FALSE,FALSE
1778,"Foote, Samuel",The Cozeners: A Comedy,TRUE,FALSE,FALSE
1779,"Dibdin, Charles","The Mirror, Or, Harlequin Every Where",TRUE,FALSE,FALSE
1779,"Pilon, Frederick",The Liverpool Prize,FALSE,TRUE,FALSE
1783,"O'Keeffe, John",The Dead Alive: A Comic Opera in Two Acts,TRUE,FALSE,FALSE
1787,"Colman, George",Inkle and Yarico,TRUE,FALSE,FALSE
1788,"Cobb, James",Love in the East,FALSE,TRUE,FALSE
1788,"Starke, Mariana","The Sword of Peace, Or, A Voyage of Love",TRUE,TRUE,FALSE
1789,"O'Keeffe, John",The Highland Reel,TRUE,FALSE,FALSE
1790,"Pratt, Samuel Jackson",The New Cosmetic,TRUE,FALSE,FALSE
1792,"Bage, Robert",Man As He Is. A Novel.,TRUE,FALSE,FALSE
1793,"Hoare,  Prince","The Prize, Or, 2, 5, 3, 8",TRUE,FALSE,FALSE
1793,"Macready, William","The Irishman in London; Or, The Happy African",TRUE,FALSE,FALSE
1793,"Trusler, John","Life, Or, The Adventures of William Ramble, Esq.",TRUE,FALSE,FALSE
1799,"Holman, Joseph George","The Votary of Wealth: A Comedy, in Five Acts",FALSE,TRUE,FALSE
1805,"Inchbald, Elizabeth","To Marry, or Not to Marry; A Comedy, in Five Acts",TRUE,FALSE,FALSE
1808,"Colman, George",The Africans,TRUE,FALSE,FALSE
1808,"Lewis, Matthew Gregory",The Anaconda: An East Indian Tale,FALSE,TRUE,FALSE
1809,"Dallas, Robert Charles",Not At Home: A Dramatic Entertainment,TRUE,FALSE,FALSE
1816,"Hofland, Barbara","Matilda, Or, The Barbadoes Girl: A Tale for Young People",TRUE,FALSE,FALSE
1817,"Pocock, Isaac","Robinson Crusoe, Or, The Bold Buccaniers",TRUE,FALSE,FALSE
1820,"Dimond, William",The Lady and the Devil,TRUE,FALSE,FALSE
1824,"Peake, Richard Brinsley","Americans Abroad, Or, Notes and Notions",TRUE,FALSE,FALSE
1826,"Moncrieff, William Thomas","Tom and Jerry; Or, Life in London",TRUE,FALSE,FALSE
1828,Anonymous,"Marly, Or, A Planter’s Life in Jamaica",TRUE,FALSE,FALSE
1828,"Hockley, William B.",The English in India and Other Sketches,FALSE,TRUE,FALSE
1828,"Somerset, Charles A.",The Sea!,TRUE,FALSE,FALSE
1829,"Fitzball,  Edward","The Flying Dutchman, Or, The Phantom Ship",TRUE,FALSE,FALSE
1830,"Murray, William","Obi, Or, Three-Fingered Jack",TRUE,FALSE,FALSE
1832,"Shipp,   John","The K’haunie Kineh-Walla, Or, Eastern Story-Teller",FALSE,TRUE,FALSE
1833,"Almar, George","The Knights of St. John, Or, The Fire Banner!",TRUE,FALSE,FALSE
1833,"Neale, William Johnson",The Port Admiral: A Tale of the War,FALSE,TRUE,FALSE
1834,"Scott, Michael",Tom Cringle’s Log,TRUE,FALSE,FALSE
1836,"Baillie, Joanna",The Alienated Manor,TRUE,FALSE,FALSE
1836,"Howard, Edward",Rattlin the Reefer,TRUE,FALSE,FALSE
1836,"Marryat, Frederick",Mr. Midshipman Easy,TRUE,FALSE,FALSE
1837,"Milner, Charles",Don Juan: A Musical Drama in Three Acts,TRUE,FALSE,FALSE
1837,"Oxenford, John",No Followers,TRUE,FALSE,FALSE
1839,"Ainsworth, William Harrison",Jack Sheppard: A Romance,TRUE,FALSE,FALSE
1839,"Barker, Matthew H.","Hamilton King; Or, The Smuggler and the Dwarf",TRUE,FALSE,FALSE
1840,"Hook, Theodore Edward",Precepts and Practice,TRUE,FALSE,FALSE
1843,"Bainbridge, Maria",Rose of Woodlee: A Tale,FALSE,TRUE,FALSE
1843,"Herbert, Henry William",My Shooting Box,TRUE,FALSE,FALSE
1844,"Kaye, John William","Peregrine Pultuney: Or, Life in india",FALSE,TRUE,FALSE
